"image","xmin","ymin","xmax","ymax","label"
"frame0000000.jpg",0,165,966,550,"car"
"frame0000002.jpg",0,137,812,621,"car"
"frame0000003.jpg",0,135,783,629,"car"
"frame0000004.jpg",0,136,754,635,"car"
"frame0000005.jpg",0,124,911,718,"car"
"frame0000006.jpg",0,152,924,696,"car"
"frame0000007.jpg",0,198,904,665,"car"
"frame0000008.jpg",0,143,713,720,"car"
"frame0000009.jpg",0,161,678,720,"car"
"frame0000010.jpg",0,161,678,720,"car"
"frame0000011.jpg",1048,0,1261,418,"house"
"frame0000011.jpg",0,153,637,720,"car"
"frame0000011.jpg",43,308,477,609,"car"
"frame0000012.jpg",44,274,454,633,"car"
"frame0000012.jpg",0,105,582,720,"car"
"frame0000013.jpg",42,279,431,649,"car"
"frame0000013.jpg",0,139,531,720,"car"
"frame0000014.jpg",0,167,476,720,"car"
"frame0000015.jpg",16,342,354,623,"car"
"frame0000016.jpg",8,326,346,658,"car"
"frame0000017.jpg",0,321,306,668,"car"
"frame0000019.jpg",0,310,246,720,"car"
"frame0000019.jpg",29,107,95,395,"house"
"frame0000020.jpg",0,386,193,684,"car"
"frame0000020.jpg",1166,59,1237,139,"house"
"frame0000021.jpg",1117,27,1205,156,"house"
"frame0000021.jpg",0,406,174,676,"car"
"frame0000021.jpg",1134,98,1162,206,"car"
"frame0000022.jpg",1072,30,1179,145,"house"
"frame0000022.jpg",189,0,497,338,"tree"
"frame0000023.jpg",1060,96,1085,204,"car"
"frame0000023.jpg",1053,33,1146,152,"house"
"frame0000024.jpg",1016,30,1108,143,"house"
"frame0000025.jpg",91,0,389,365,"tree"
"frame0000025.jpg",956,0,1136,415,"house"
"frame0000025.jpg",1002,27,1117,144,"house"
"frame0000026.jpg",1087,0,1234,291,"house"
"frame0000026.jpg",894,0,1108,323,"house"
"frame0000026.jpg",956,32,1062,137,"house"
"frame0000027.jpg",914,21,1018,139,"house"
"frame0000027.jpg",1088,0,1212,252,"house"
"frame0000027.jpg",860,0,1055,276,"house"
"frame0000028.jpg",1185,129,1280,452,"car"
"frame0000028.jpg",867,32,967,126,"house"
"frame0000028.jpg",1033,0,1179,312,"house"
"frame0000028.jpg",831,0,982,319,"house"
"frame0000029.jpg",792,0,924,379,"house"
"frame0000029.jpg",1134,205,1280,393,"car"
"frame0000029.jpg",813,100,837,197,"car"
"frame0000029.jpg",982,0,1140,343,"house"
"frame0000030.jpg",915,0,1086,287,"house"
"frame0000030.jpg",1063,210,1280,391,"car"
